sample	Basal	Claudin_low	Luminal	Non_malignant	unknown
GSM1172844	0	0	0	1	0
GSM1172845	0	0	0	1	0
GSM1172846	1	0	0	0	0
GSM1172847	1	0	0	0	0
GSM1172848	1	0	0	0	0
GSM1172849	1	0	0	0	0
GSM1172850	0	0	1	0	0
GSM1172851	0	0	1	0	0
GSM1172853	0	0	1	0	0
GSM1172854	0	0	1	0	0
GSM1172855	0	1	0	0	0
GSM1172856	0	0	1	0	0
GSM1172858	0	0	1	0	0
GSM1172859	0	0	1	0	0
GSM1172860	0	0	1	0	0
GSM1172861	1	0	0	0	0
GSM1172863	0	1	0	0	0
GSM1172864	0	0	1	0	0
GSM1172865	0	0	1	0	0
GSM1172867	1	0	0	0	0
GSM1172868	1	0	0	0	0
GSM1172869	1	0	0	0	0
GSM1172870	1	0	0	0	0
GSM1172871	1	0	0	0	0
GSM1172872	0	0	1	0	0
GSM1172873	0	0	1	0	0
GSM1172874	1	0	0	0	0
GSM1172875	0	1	0	0	0
GSM1172876	1	0	0	0	0
GSM1172877	0	1	0	0	0
GSM1172878	1	0	0	0	0
GSM1172879	0	0	1	0	0
GSM1172881	0	0	0	0	1
GSM1172882	0	0	0	1	0
GSM1172883	0	0	0	1	0
GSM1172884	0	0	0	1	0
GSM1172885	0	0	1	0	0
GSM1172886	0	0	1	0	0
GSM1172888	0	0	1	0	0
GSM1172889	0	1	0	0	0
GSM1172890	0	0	1	0	0
GSM1172893	0	0	0	0	1
GSM1172895	0	0	1	0	0
GSM1172896	0	1	0	0	0
GSM1172897	1	0	0	0	0
GSM1172901	0	0	1	0	0
GSM1172902	0	0	0	0	1
GSM1172903	0	0	1	0	0
GSM1172904	0	0	1	0	0
GSM1172905	0	0	0	0	1
GSM1172906	0	0	1	0	0
GSM1172907	0	0	1	0	0
GSM1172908	0	0	1	0	0
GSM1172909	0	0	1	0	0
GSM1172910	0	0	1	0	0
GSM1384316	0	0	1	0	0
